날짜,식사시간,메뉴,칼로리
2023-09-01,아침,감자탕,649
2023-09-01,점심,어묵탕,387
2023-09-01,저녁,쌀국수,561
2023-09-02,아침,오징어볶음,413
2023-09-02,점심,치즈돈까스,620
2023-09-02,저녁,함박스테이크,786
2023-09-03,아침,라면,612
2023-09-03,점심,간장게장,504
2023-09-03,저녁,보쌈,595
2023-09-04,아침,고추장불고기,397
2023-09-04,점심,수제비,522
2023-09-04,저녁,알밥,887
2023-09-05,아침,냉면,504
2023-09-05,점심,어묵탕,690
2023-09-05,저녁,돼지고기김치찜,861
2023-09-06,아침,매운탕,780
2023-09-06,점심,회,560
2023-09-06,저녁,회덮밥,599
2023-09-07,아침,육회,501
2023-09-07,점심,샐러드파스타,486
2023-09-07,저녁,갈릭버터새우,598
2023-09-08,아침,순두부찌개,570
2023-09-08,점심,고기국수,302
2023-09-08,저녁,해물탕,365
2023-09-09,아침,크림파스타,477
2023-09-09,점심,삼겹살,392
2023-09-09,저녁,크림파스타,644
2023-09-10,아침,참치김밥,486
2023-09-10,점심,우동,349
2023-09-10,저녁,냉면,542
2023-09-11,아침,굴국밥,704
2023-09-11,점심,짜장면,842
2023-09-11,저녁,순두부찌개,654
2023-09-12,아침,된장국,694
2023-09-12,점심,닭한마리,389
2023-09-12,저녁,삼계탕,631
2023-09-13,아침,순대볶음,496
2023-09-13,점심,낙곱새,720
2023-09-13,저녁,돼지국밥,892
2023-09-14,아침,잡채,438
2023-09-14,점심,간장새우,581
2023-09-14,저녁,떡만둣국,582
2023-09-15,아침,돼지고기김치찜,806
2023-09-15,점심,매운치킨,667
2023-09-15,저녁,떡국,660
2023-09-16,아침,비빔냉면,686
2023-09-16,점심,닭가슴살샐러드,472
2023-09-16,저녁,육회,573
2023-09-17,아침,회,445
2023-09-17,점심,순두부찌개,324
2023-09-17,저녁,수제비,606
2023-09-18,아침,육개장,568
2023-09-18,점심,새우볶음밥,780
2023-09-18,저녁,된장국,457
2023-09-19,아침,갈릭버터새우,410
2023-09-19,점심,감자탕,460
2023-09-19,저녁,돼지고기김치찜,695
2023-09-20,아침,샤브샤브,678
2023-09-20,점심,콩나물국밥,777
2023-09-20,저녁,치킨,447
2023-09-21,아침,훈제연어샐러드,386
2023-09-21,점심,바지락칼국수,873
2023-09-21,저녁,오리구이,425
2023-09-22,아침,곱창전골,773
2023-09-22,점심,냉채족발,789
2023-09-22,저녁,간장새우,587
2023-09-23,아침,족발,575
2023-09-23,점심,물냉면,303
2023-09-23,저녁,굴국밥,733
2023-09-24,아침,굴국밥,383
2023-09-24,점심,냉면,639
2023-09-24,저녁,동태찌개,521
2023-09-25,아침,곱창전골,392
2023-09-25,점심,우삼겹덮밥,648
2023-09-25,저녁,참치김밥,795
2023-09-26,아침,비빔밥,447
2023-09-26,점심,잡채,633
2023-09-26,저녁,콩나물국밥,711
2023-09-27,아침,불고기,434
