날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
2024-10-16(수),,,동아오츠카포카리스웨트340ml 캔,85kcal,,,,,2563.91kcal
2024-10-17(목),밥,390.5kcal,흑미밥,409.25kcal,밥,390.5kcal,,,2897.72kcal
2024-10-17(목),부추달걀국(01)(05)(06)(16),80kcal,돈등뼈감자탕(05)(06)(10)(16),347.15kcal,해물순두부찌개(01)(05)(06)(08)(09)(17)(18),114.04kcal,,,2897.72kcal
2024-10-17(목),소시지채소볶음(05)(06)(10)(12)(15)(16)(18),182.27kcal,삼치구이&깐풍소스(05)(06)(07)(18),504.96kcal,궁중소고기떡볶음(05)(06)(16)(18),117kcal,,,2897.72kcal
2024-10-17(목),배추김치볶음(05)(09)(16),59.28kcal,시금치무침(05)(06),24.31kcal,베이컨감자채볶음(05)(06)(10),112.56kcal,,,2897.72kcal
2024-10-17(목),연두부양념장(05)(06)(18),60.47kcal,오복채무침,8.78kcal,배추김치(09),8.75kcal,,,2897.72kcal
2024-10-17(목),가공우유(바나나맛)(02),82.5kcal,석박지(09),5.4kcal,,,,,2897.72kcal
2024-10-17(목),"생수(500ML,후식)",0kcal,,,,,,,2897.72kcal
2024-10-18(금),밥,390.5kcal,밥,390.5kcal,후리카케밥(소량)(01)(05)(06),213.99kcal,,,3488.68kcal
2024-10-18(금),닭가슴살떡국(01)(02)(05)(06)(15)(16),79.93kcal,대구지리탕(05)(06)(16),76.09kcal,종합어묵국(05)(06),87.41kcal,,,3488.68kcal
2024-10-18(금),오징어볶음(05)(06)(17)(18),150.43kcal,햄김치볶음(05)(06)(09)(10)(16),183.88kcal,떡볶이(02)(05)(06),467.04kcal,,,3488.68kcal
2024-10-18(금),스크램블에그(01)(05)(06)(10)(12),248.06kcal,계란말이(12),189kcal,모듬튀김(01)(02)(05)(06)(12)(15)(16)(18),563.4kcal,,,3488.68kcal
2024-10-18(금),배추김치(09),8.75kcal,김가루,25kcal,순대찜(05)(10),338kcal,,,3488.68kcal
2024-10-18(금),"우유(백색우유(200ML,연간))(02)",65kcal,석박지(09),5.4kcal,단무지,6.3kcal,,,3488.68kcal
2024-10-18(금),,,초코과자,,,,,,3488.68kcal
2024-10-19(토),뉴욕핫도그(01)(02)(05)(06)(10)(12)(15)(16),535.26kcal,셀프참치마요주먹밥,543.85kcal,밥,390.5kcal,,,2731.22kcal
2024-10-19(토),모듬피클,30.8kcal,팽이버섯장국(01)(05)(06)(18),27.4kcal,쇠고기무국(05)(06)(16),49.41kcal,,,2731.22kcal
2024-10-19(토),에그마요샐러드(01)(05),13.8kcal,훈제닭다리,476kcal,콩나물불고기(05)(06)(10)(18),259.3kcal,,,2731.22kcal
2024-10-19(토),구슬치즈샐러드(02)(05)(06)(13),150.66kcal,깍두기(09),13.3kcal,모듬쌈,42.19kcal,,,2731.22kcal
2024-10-19(토),파인애플스틱,,"가공우유,빙그레,빙그레바나나맛우유Light,240ml(02)",190kcal,배추김치(09),8.75kcal,,,2731.22kcal
2024-10-20(일),밥,390.5kcal,치즈닭갈비덮밥(02)(05)(06)(15),329.59kcal,밀쌀밥,390.96kcal,,,2859.83kcal
