날짜,조식,중식,석식,breakfast_embedding,lunch_embedding,dinner_embedding
2024-10-16(수),,동아오츠카포카리스웨트340ml 캔,,"[0, 0, 0, [0, 0, 0, 0, 1]]","[28.97, 0.27, 0.15, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-17(목),밥,흑미밥,밥,,,
2024-10-17(목),부추달걀국(01)(05)(06)(16),돈등뼈감자탕(05)(06)(10)(16),해물순두부찌개(01)(05)(06)(08)(09)(17)(18),"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[13.31, 16.19, 25.76, [1, 0, 0, 0, 0]]"
2024-10-17(목),소시지채소볶음(05)(06)(10)(12)(15)(16)(18),삼치구이&깐풍소스(05)(06)(07)(18),궁중소고기떡볶음(05)(06)(16)(18),"[0, 0, 0, [0, 0, 0, 0, 1]]","[0.21, 11.01, 18.64, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-17(목),배추김치볶음(05)(09)(16),시금치무침(05)(06),베이컨감자채볶음(05)(06)(10),"[4.7, 2.46, 4.98, [1, 0, 0, 0, 0]]","[8.39, 3.14, 3.78, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-17(목),연두부양념장(05)(06)(18),오복채무침,배추김치(09),"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]",
2024-10-17(목),가공우유(바나나맛)(02),석박지(09),,"[0, 0, 0, [0, 0, 0, 0, 1]]","[3.93, 0.14, 0.81, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-17(목),"생수(500ML,후식)",,,"[29.0, 2.2, 6.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-18(금),밥,밥,후리카케밥(소량)(01)(05)(06),,,
2024-10-18(금),닭가슴살떡국(01)(02)(05)(06)(15)(16),대구지리탕(05)(06)(16),종합어묵국(05)(06),"[0.0, 1.23, 22.98, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[26.0, 0.0, 12.0, [1, 0, 0, 0, 0]]"
2024-10-18(금),오징어볶음(05)(06)(17)(18),햄김치볶음(05)(06)(09)(10)(16),떡볶이(02)(05)(06),"[8.66, 4.59, 12.41, [1, 0, 0, 0, 0]]","[34.0, 7.0, 5.0, [1, 0, 0, 0, 0]]","[60.42, 2.91, 6.97, [1, 0, 0, 0, 0]]"
