날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
2023-06-15,배추김치,0kcal,배추김치&단무지,0kcal,깍두기,0kcal,,,4168.70kcal
2023-06-15,,,,,참외,38kcal,,,4168.70kcal
2023-06-16,밥,344.85kcal,잡곡밥,334.3kcal,소시지철판볶음밥,902.79kcal,,,3286.66kcal
2023-06-16,돼지고기김치찌개,80.55kcal,배추된장국,12.01kcal,함박스테이크,349.99kcal,,,3286.66kcal
2023-06-16,햄슬라이스야채볶음,153.74kcal,더덕불고기,403.27kcal,쇠고기크림스프,13.78kcal,,,3286.66kcal
2023-06-16,오믈렛,168.15kcal,고등어구이&양념장,178.12kcal,과카몰리&모닝빵,127.11kcal,,,3286.66kcal
2023-06-16,깍두기,0kcal,갓김치,0kcal,배추김치,0kcal,,,3286.66kcal
2023-06-16,,,오렌지주스,96kcal,백색우유,122kcal,,,3286.66kcal
2023-06-17,셀프주먹밥,201.15kcal,,,밥,344.85kcal,,,2823.20kcal
2023-06-17,차돌떡볶이,696.04kcal,,,강된장찌개,75.35kcal,,,2823.20kcal
2023-06-17,치킨텐더구이&칠리소스,19kcal,,,돼지파채불고기,385.41kcal,,,2823.20kcal
2023-06-17,시리얼,218.06kcal,,,베이컨감자채볶음,115.24kcal,,,2823.20kcal
2023-06-17,콘샐러드,480kcal,,,깍두기,0kcal,,,2823.20kcal
2023-06-17,바나나,81.6kcal,,,토핑형 발효유,84.5kcal,,,2823.20kcal
2023-06-17,백색우유,122kcal,,,,,,,2823.20kcal
2023-06-18,밥,344.85kcal,밥,344.85kcal,밥,344.85kcal,,,3118.39kcal
2023-06-18,감자된장국,32.62kcal,쇠고기호박수제비,151.44kcal,참치김치찌개,104.58kcal,,,3118.39kcal
2023-06-18,멸치아몬드볶음,65.48kcal,눈꽃치즈닭갈비,417.25kcal,오징어제육볶음,364.27kcal,,,3118.39kcal
2023-06-18,동그랑땡부침,155.45kcal,고구마샐러드,168.88kcal,무부추무침,24.27kcal,,,3118.39kcal
2023-06-18,배추김치,0kcal,까망베르치즈바,104.1kcal,열무김치,0kcal,,,3118.39kcal
2023-06-18,백색우유,122kcal,깍두기,0kcal,컵라면,365kcal,,,3118.39kcal
2023-06-18,,,대추방울토마토,8.5kcal,,,,,3118.39kcal
2023-06-19,밥,344.85kcal,꼬막비빔밥,392.25kcal,현미밥,363kcal,,,2841.07kcal
2023-06-19,돼지고기애호박찌개,94.9kcal,건새우아욱된장국,22.78kcal,미소된장국,23.29kcal,,,2841.07kcal
2023-06-19,어떡햄볶음,192.67kcal,돈육새송이야채볶음,391.19kcal,생선가스,399.5kcal,,,2841.07kcal
2023-06-19,감자매운조림,64.19kcal,허니브레드,270kcal,쫄면야채무침,75.94kcal,,,2841.07kcal
2023-06-19,배추김치,0kcal,총각김치,0kcal,깍두기,0kcal,,,2841.07kcal
2023-06-19,,,포도주스,84.51kcal,백색우유,122kcal,,,2841.07kcal
2023-06-20,베이컨구이,160kcal,고기국수,459.65kcal,찰보리밥,360.65kcal,,,3008.71kcal
2023-06-20,시리얼,218.06kcal,밥3,127.05kcal,들깨미역국,39.02kcal,,,3008.71kcal
2023-06-20,크래미샌드위치,416.53kcal,현무암치킨,505.51kcal,오리훈제배추찜,327.51kcal,,,3008.71kcal
2023-06-20,만다린샐러드,52.66kcal,단무지,0kcal,양념고추지,0kcal,,,3008.71kcal
2023-06-20,백색우유,122kcal,알배기배추겉절이,56.67kcal,크로크무슈,125kcal,,,3008.71kcal
