날짜,조식,중식,석식,breakfast_embedding,lunch_embedding,dinner_embedding
2021-03-14,콩나물매운무침,배추김치,양배추쌈,"[5.99, 1.13, 2.31, [1, 0, 0, 0, 0]]",,"[5.58, 0.12, 1.44, [1, 0, 0, 0, 0]]"
2021-03-14,배추김치,우유 살균형,배추김치,,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]",
2021-03-14,우유),,감귤 주스,"[4.6, 4.0, 3.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[25.79, 0.5, 1.74, [1, 0, 0, 0, 0]]"
2021-03-14,밥,달걀케첩볶음밥,밥,,,
2021-03-15,밥,검은콩밥,카레밥,,,
2021-03-15,사골곰탕,닭고기육개장,계란국,"[0.0, 2.4, 3.0, [1, 0, 0, 0, 0]]","[6.0, 6.0, 8.0, [1, 0, 0, 0, 0]]","[0.97, 1.08, 1.58, [1, 0, 0, 0, 0]]"
2021-03-15,두부김치,황태찜,돈가스,,"[7.48, 2.67, 11.01, [1, 0, 0, 0, 0]]","[24.56, 30.6, 45.16, [1, 0, 0, 0, 0]]"
2021-03-15,깍두기,깻잎무침,배추김치,"[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]","[9.48, 1.52, 3.37, [1, 0, 0, 0, 0]]",
2021-03-15,유산균 발효 음료,배추김치,,"[33.39, 0.0, 0.5, [1, 0, 0, 0, 0]]",,"[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-03-15,,우유),,"[0, 0, 0, [0, 0, 0, 0, 1]]","[4.6, 4.0, 3.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-03-16,밥,비빔밥,잡곡밥,,,
2021-03-16,오징어국,생선묵국,순두부찌개,"[12.11, 3.33, 35.99, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[5.62, 17.99, 18.25, [1, 0, 0, 0, 0]]"
2021-03-16,비엔나소시지케찹볶음,계란후라이,파닭,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0.43, 6.76, 6.24, [1, 0, 0, 0, 0]]","[32.06, 37.73, 50.12, [1, 0, 0, 0, 0]]"
2021-03-16,맛김,백김치,무나물,"[1.3, 1.5, 1.2, [1, 0, 0, 0, 0]]","[4.75, 0.19, 1.21, [1, 0, 0, 0, 0]]","[9.61, 2.25, 1.46, [1, 0, 0, 0, 0]]"
2021-03-16,배추김치,한라봉,배추김치,,"[30.09, 0.7, 1.83, [1, 0, 0, 0, 0]]",
2021-03-16,우유),,콜라,"[4.6, 4.0, 3.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[23.0, 0.0, 0.0, [1, 0, 0, 0, 0]]"
2021-03-17,깍두기,배추김치,배추김치,"[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]",,
2021-03-17,요구르트 아이스크림 떠먹는형,우유),,"[6.49, 0.08, 0.0, [1, 0, 0, 0, 0]]","[4.6, 4.0, 3.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-03-17,밥,잡곡밥,밥,,,
2021-03-17,두부맑은국,한우갈비탕,호박된장찌개,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0.0, 4.5, 12.0, [1, 0, 0, 0, 0]]","[16.77, 5.6, 15.01, [1, 0, 0, 0, 0]]"
2021-03-17,감자채볶음,꽈리고추멸치볶음,삼겹살구이,"[15.24, 6.03, 1.63, [1, 0, 0, 0, 0]]","[4.7, 2.46, 4.98, [1, 0, 0, 0, 0]]","[0.62, 29.82, 18.21, [1, 0, 0, 0, 0]]"
2021-03-17,참치김치볶음,오징어젓무침,양배추쌈,"[2.63, 6.94, 9.5, [1, 0, 0, 0, 0]]","[34.0, 1.7, 9.0, [1, 0, 0, 0, 0]]","[5.58, 0.12, 1.44, [1, 0, 0, 0, 0]]"
2021-03-18,불고기버거,생우동,밥,"[50.0, 22.0, 20.0, [1, 0, 0, 0, 0]]","[67.0, 3.1, 9.0, [1, 0, 0, 0, 0]]",
2021-03-18,우유),야채튀김,버섯쇠고기찌개,"[4.6, 4.0, 3.0, [1, 0, 0, 0, 0]]","[0.96, 0.71, 0.3, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-03-18,,배추김치,햄슬라이스야채볶음,"[0, 0, 0, [0, 0, 0, 0, 1]]",,"[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-03-18,,우유),삼치순살튀김,"[0, 0, 0, [0, 0, 0, 0, 1]]","[4.6, 4.0, 3.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-03-18,,사이다,배추김치,"[0, 0, 0, [0, 0, 0, 0, 1]]","[22.0, 0.0, 0.0, [1, 0, 0, 0, 0]]",
2021-03-19,밥,흑미밥,잡곡밥,,,
2021-03-19,생선묵국,감자수제비국,두부고추장찌개,"[0, 0, 0, [0, 0, 0, 0, 1]]","[66.44, 6.59, 15.81, [1, 0, 0, 0, 0]]","[13.53, 2.9, 6.9, [1, 0, 0, 0, 0]]"
2021-03-19,돼지고기김치볶음,쭈꾸미볶음,쇠고기불고기,"[2.86, 9.51, 8.69, [1, 0, 0, 0, 0]]","[9.87, 7.52, 21.21, [1, 0, 0, 0, 0]]","[9.74, 13.22, 36.47, [1, 0, 0, 0, 0]]"
2021-03-19,맛김,콩나물무침,양배추쌈,"[1.3, 1.5, 1.2, [1, 0, 0, 0, 0]]","[5.99, 1.13, 2.31, [1, 0, 0, 0, 0]]","[5.58, 0.12, 1.44, [1, 0, 0, 0, 0]]"
2021-03-19,깍두기,배추김치,배추김치,"[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]",,
2021-03-19,우유),유산균 발효 음료,라면,"[4.6, 4.0, 3.0, [1, 0, 0, 0, 0]]","[33.39, 0.0, 0.5, [1, 0, 0, 0, 0]]","[55.68, 14.54, 7.9, [1, 0, 0, 0, 0]]"
2021-03-20,닭죽,햄야채볶음밥,밥,"[5.52, 12.18, 27.21, [1, 0, 0, 0, 0]]",,
2021-03-20,감자조림,된장국,김치찌개,"[6.66, 1.68, 0.79, [1, 0, 0, 0, 0]]","[9.93, 1.85, 5.55, [1, 0, 0, 0, 0]]","[6.38, 8.09, 8.17, [1, 0, 0, 0, 0]]"
2021-03-20,배추김치,계란후라이,고추잡채,,"[0.43, 6.76, 6.24, [1, 0, 0, 0, 0]]","[7.79, 9.59, 14.16, [1, 0, 0, 0, 0]]"
2021-03-20,우유),배추김치,떡볶이,"[4.6, 4.0, 3.0, [1, 0, 0, 0, 0]]",,"[60.42, 2.91, 6.97, [1, 0, 0, 0, 0]]"
2021-03-20,,음료수 탄산 과일,깍두기,"[0, 0, 0, [0, 0, 0, 0, 1]]","[19.0, 0.2, 4.4, [1, 0, 0, 0, 0]]","[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]"
2021-03-20,,,우유 살균형,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]"
2021-03-21,밥,밥,자장밥,,,
2021-03-21,감자양파찌개,햄소시지찌개,짬뽕찌개,"[14.04, 1.86, 2.04, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-03-21,느타리버섯볶음,시금치된장무침,단무지무침,"[8.38, 5.13, 3.36, [1, 0, 0, 0, 0]]","[8.39, 3.14, 3.78, [1, 0, 0, 0, 0]]","[3.3, 1.28, 0.72, [1, 0, 0, 0, 0]]"
2021-03-21,맛김,감자샐러드,배추김치,"[1.3, 1.5, 1.2, [1, 0, 0, 0, 0]]","[18.0, 8.0, 2.0, [1, 0, 0, 0, 0]]",
2021-03-21,배추김치,배추김치,감귤 주스,,,"[25.79, 0.5, 1.74, [1, 0, 0, 0, 0]]"
2021-03-21,우유),워터젤리,,"[4.6, 4.0, 3.0, [1, 0, 0, 0, 0]]","[24.0, 0.0, 0.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-03-21,,탄산음료,,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-03-22,버섯된장찌개,쇠고기미역국,김치찌개,"[16.77, 5.6, 15.01, [1, 0, 0, 0, 0]]","[16.08, 6.78, 15.06, [1, 0, 0, 0, 0]]","[6.38, 8.09, 8.17, [1, 0, 0, 0, 0]]"
2021-03-22,비엔나소시지야채볶음,깐풍기,쇠고기파프리카볶음,"[0, 0, 0, [0, 0, 0, 0, 1]]","[33.46, 25.35, 20.99, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-03-22,무나물,깻잎무침,두부양념장,"[9.61, 2.25, 1.46, [1, 0, 0, 0, 0]]","[9.48, 1.52, 3.37, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-03-22,배추김치,배추김치,깍두기,,,"[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]"
2021-03-22,,우유),건빵,"[0, 0, 0, [0, 0, 0, 0, 1]]","[4.6, 4.0, 3.0, [1, 0, 0, 0, 0]]","[2.09, 0.47, 0.23, [1, 0, 0, 0, 0]]"
2021-03-22,,,감귤 주스,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[25.79, 0.5, 1.74, [1, 0, 0, 0, 0]]"
2021-03-22,밥,검은콩밥,밥,,,
2021-03-23,햄치즈버거,검은콩밥,잡곡밥,"[42.0, 17.0, 18.0, [1, 0, 0, 0, 0]]",,
2021-03-23,우유),버섯쇠고기찌개,순두부찌개,"[4.6, 4.0, 3.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[5.62, 17.99, 18.25, [1, 0, 0, 0, 0]]"
2021-03-23,,갈치순살튀김,돼지고기수육,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[1.59, 9.12, 20.91, [1, 0, 0, 0, 0]]"
2021-03-23,,궁중닭찜,콩나물매운무침,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[5.99, 1.13, 2.31, [1, 0, 0, 0, 0]]"
2021-03-23,,배추김치,깍두기,"[0, 0, 0, [0, 0, 0, 0, 1]]",,"[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]"
2021-03-23,,이온음료,,"[0, 0, 0, [0, 0, 0, 0, 1]]","[38.0, 0.0, 0.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-03-23,,우유),,"[0, 0, 0, [0, 0, 0, 0, 1]]","[4.6, 4.0, 3.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-03-24,밥,잡곡밥,밥,,,
2021-03-24,생선묵국,꼬꼬떡국,콩나물국,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[5.87, 1.54, 2.17, [1, 0, 0, 0, 0]]"
2021-03-24,돼지고기김치볶음,낙지볶음,닭강정,"[2.86, 9.51, 8.69, [1, 0, 0, 0, 0]]","[10.03, 7.63, 19.08, [1, 0, 0, 0, 0]]","[10.53, 18.6, 13.8, [1, 0, 0, 0, 0]]"
2021-03-24,맛김,시금치무침,두부조림,"[1.3, 1.5, 1.2, [1, 0, 0, 0, 0]]","[8.39, 3.14, 3.78, [1, 0, 0, 0, 0]]","[2.51, 9.94, 6.42, [1, 0, 0, 0, 0]]"
2021-03-24,깍두기,배추김치,배추김치,"[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]",,
2021-03-24,우유),요구르트 아이스크림 떠먹는형,즉석쌀국수,"[4.6, 4.0, 3.0, [1, 0, 0, 0, 0]]","[6.49, 0.08, 0.0, [1, 0, 0, 0, 0]]","[49.0, 1.8, 5.0, [1, 0, 0, 0, 0]]"
2021-03-25,두부고추장찌개,전복삼계탕,김치찌개,"[13.53, 2.9, 6.9, [1, 0, 0, 0, 0]]","[24.0, 23.0, 69.0, [1, 0, 0, 0, 0]]","[6.38, 8.09, 8.17, [1, 0, 0, 0, 0]]"
2021-03-25,새송이버섯야채볶음,꽈리고추멸치볶음,만두튀김,"[0, 0, 0, [0, 0, 0, 0, 1]]","[4.7, 2.46, 4.98, [1, 0, 0, 0, 0]]","[10.31, 3.15, 3.53, [1, 0, 0, 0, 0]]"
2021-03-25,감자조림,오이양파장아찌,계란찜,"[6.66, 1.68, 0.79, [1, 0, 0, 0, 0]]","[3.74, 0.32, 0.55, [1, 0, 0, 0, 0]]","[2.07, 10.11, 10.05, [1, 0, 0, 0, 0]]"
