날짜,breakfast,breakfast_embedding,lunch,lunch_embedding,dinner,dinner_embedding,breakfast_count,lunch_count,dinner_count
2021-01-01,떡만둣국,"[68.42, 11.05, 15.0, [1, 0, 0, 0, 0]]",호박된장찌개,"[16.77, 5.6, 15.01, [1, 0, 0, 0, 0]]",닭고기육개장,"[6.0, 6.0, 8.0, [1, 0, 0, 0, 0]]",26.0,48.0,32.0
2021-01-02,시금치된장국,"[17.48, 2.8, 7.91, [1, 0, 0, 0, 0]]",햄소시지찌개,"[0, 0, 0, [0, 0, 0, 0, 1]]",계란국,"[0.97, 1.08, 1.58, [1, 0, 0, 0, 0]]",17.0,20.0,10.0
2021-01-03,쇠고기무국,"[12.07, 8.62, 16.43, [1, 0, 0, 0, 0]]",닭곰탕,"[1.87, 4.75, 18.72, [1, 0, 0, 0, 0]]",된장국,"[9.93, 1.85, 5.55, [1, 0, 0, 0, 0]]",76.0,20.0,21.0
2021-01-04,김치찌개,"[6.38, 8.09, 8.17, [1, 0, 0, 0, 0]]",쇠고기육개장,"[6.0, 6.0, 8.0, [1, 0, 0, 0, 0]]",짬뽕찌개,"[0, 0, 0, [0, 0, 0, 0, 1]]",17.0,32.0,56.0
2021-01-05,에그햄치즈버거,"[36.0, 18.0, 14.0, [1, 0, 0, 0, 0]]",쇠고기미역국,"[16.08, 6.78, 15.06, [1, 0, 0, 0, 0]]",순두부찌개,"[5.62, 17.99, 18.25, [1, 0, 0, 0, 0]]",1.0,33.0,73.0
2021-01-06,계란찜,"[2.07, 10.11, 10.05, [1, 0, 0, 0, 0]]",미트볼케찹조림,"[0, 0, 0, [0, 0, 0, 0, 1]]",돈가스,"[24.56, 30.6, 45.16, [1, 0, 0, 0, 0]]",2.0,2.0,9.0
2021-01-07,콩나물국,"[5.87, 1.54, 2.17, [1, 0, 0, 0, 0]]",북어채국,"[3.28, 4.9, 12.81, [1, 0, 0, 0, 0]]",새우버거,"[46.0, 26.0, 15.0, [1, 0, 0, 0, 0]]",21.0,11.0,17.0
2021-01-08,소시지야채볶음,"[4.38, 11.22, 7.92, [1, 0, 0, 0, 0]]",김치찌개,"[6.38, 8.09, 8.17, [1, 0, 0, 0, 0]]",순두부찌개,"[5.62, 17.99, 18.25, [1, 0, 0, 0, 0]]",1.0,61.0,73.0
2021-01-09,핫도그빵,"[24.74, 2.16, 4.75, [1, 0, 0, 0, 0]]",닭볶음탕,"[9.4, 9.5, 25.72, [1, 0, 0, 0, 0]]",된장국,"[9.93, 1.85, 5.55, [1, 0, 0, 0, 0]]",29.0,30.0,21.0
2021-01-10,닭죽,"[5.52, 12.18, 27.21, [1, 0, 0, 0, 0]]",쇠고기무국,"[12.07, 8.62, 16.43, [1, 0, 0, 0, 0]]",김치찌개,"[6.38, 8.09, 8.17, [1, 0, 0, 0, 0]]",26.0,8.0,87.0
2021-01-11,오징어채볶음,"[8.56, 4.36, 12.09, [1, 0, 0, 0, 0]]",꽈리고추멸치볶음,"[4.7, 2.46, 4.98, [1, 0, 0, 0, 0]]",돈가스,"[24.56, 30.6, 45.16, [1, 0, 0, 0, 0]]",1.0,2.0,9.0
2021-01-12,오징어국,"[12.11, 3.33, 35.99, [1, 0, 0, 0, 0]]",홍합탕,"[11.91, 7.58, 22.81, [1, 0, 0, 0, 0]]",감자양파찌개,"[14.04, 1.86, 2.04, [1, 0, 0, 0, 0]]",4.0,16.0,9.0
2021-01-13,쇠고기감자국,"[7.0, 2.4, 13.0, [1, 0, 0, 0, 0]]",쇠고기미역국,"[16.08, 6.78, 15.06, [1, 0, 0, 0, 0]]",된장국,"[9.93, 1.85, 5.55, [1, 0, 0, 0, 0]]",27.0,33.0,21.0
2021-01-14,불고기버거,"[50.0, 22.0, 20.0, [1, 0, 0, 0, 0]]",쇠고기육개장,"[6.0, 6.0, 8.0, [1, 0, 0, 0, 0]]",호박된장찌개,"[16.77, 5.6, 15.01, [1, 0, 0, 0, 0]]",27.0,32.0,48.0
2021-01-15,두부맑은국,"[0, 0, 0, [0, 0, 0, 0, 1]]",감자수제비국,"[66.44, 6.59, 15.81, [1, 0, 0, 0, 0]]",김치찌개,"[6.38, 8.09, 8.17, [1, 0, 0, 0, 0]]",1.0,12.0,87.0
2021-01-16,떡만둣국,"[68.42, 11.05, 15.0, [1, 0, 0, 0, 0]]",순두부찌개,"[5.62, 17.99, 18.25, [1, 0, 0, 0, 0]]",계란국,"[0.97, 1.08, 1.58, [1, 0, 0, 0, 0]]",26.0,16.0,10.0
2021-01-17,콩나물국,"[5.87, 1.54, 2.17, [1, 0, 0, 0, 0]]",두부고추장찌개,"[13.53, 2.9, 6.9, [1, 0, 0, 0, 0]]",버섯된장찌개,"[16.77, 5.6, 15.01, [1, 0, 0, 0, 0]]",21.0,2.0,7.0
2021-01-18,북어채국,"[3.28, 4.9, 12.81, [1, 0, 0, 0, 0]]",광어매운탕,"[0, 0, 0, [0, 0, 0, 0, 1]]",쇠고기미역국,"[16.08, 6.78, 15.06, [1, 0, 0, 0, 0]]",5.0,15.0,16.0
2021-01-19,버섯쇠고기찌개,"[0, 0, 0, [0, 0, 0, 0, 1]]",생우동,"[67.0, 3.1, 9.0, [1, 0, 0, 0, 0]]",감자양파찌개,"[14.04, 1.86, 2.04, [1, 0, 0, 0, 0]]",6.0,17.0,9.0
2021-01-20,생선묵국,"[0, 0, 0, [0, 0, 0, 0, 1]]",감자탕,"[10.01, 5.58, 14.74, [1, 0, 0, 0, 0]]",된장국,"[9.93, 1.85, 5.55, [1, 0, 0, 0, 0]]",16.0,20.0,21.0
2021-01-21,,"[0, 0, 0, [0, 0, 0, 0, 1]]",감귤 주스,"[25.79, 0.5, 1.74, [1, 0, 0, 0, 0]]",단무지무침,"[3.3, 1.28, 0.72, [1, 0, 0, 0, 0]]",18.0,1.0,4.0
2021-01-22,버섯쇠고기찌개,"[0, 0, 0, [0, 0, 0, 0, 1]]",닭고기육개장,"[6.0, 6.0, 8.0, [1, 0, 0, 0, 0]]",콩나물김치국,"[1.79, 1.82, 1.92, [1, 0, 0, 0, 0]]",6.0,20.0,30.0
2021-01-23,감자양파찌개,"[14.04, 1.86, 2.04, [1, 0, 0, 0, 0]]",햄소시지찌개,"[0, 0, 0, [0, 0, 0, 0, 1]]",된장국,"[9.93, 1.85, 5.55, [1, 0, 0, 0, 0]]",9.0,20.0,21.0
2021-01-24,맛김,"[1.3, 1.5, 1.2, [1, 0, 0, 0, 0]]",무나물M531:무생채대,"[7.17, 1.14, 1.15, [1, 0, 0, 0, 0]]",고추잡채,"[7.79, 9.59, 14.16, [1, 0, 0, 0, 0]]",14.0,1.0,1.0
2021-01-25,쇠고기미역국,"[16.08, 6.78, 15.06, [1, 0, 0, 0, 0]]",대구매운탕,"[0, 0, 0, [0, 0, 0, 0, 1]]",두부고추장찌개,"[13.53, 2.9, 6.9, [1, 0, 0, 0, 0]]",114.0,4.0,4.0
2021-01-26,생선묵국,"[0, 0, 0, [0, 0, 0, 0, 1]]",스파게티,"[42.95, 1.29, 8.06, [1, 0, 0, 0, 0]]",순두부찌개,"[5.62, 17.99, 18.25, [1, 0, 0, 0, 0]]",16.0,20.0,73.0
2021-01-27,쇠고기무국,"[12.07, 8.62, 16.43, [1, 0, 0, 0, 0]]",버섯된장찌개,"[16.77, 5.6, 15.01, [1, 0, 0, 0, 0]]",계란국,"[0.97, 1.08, 1.58, [1, 0, 0, 0, 0]]",76.0,5.0,10.0
2021-01-28,핫도그빵,"[24.74, 2.16, 4.75, [1, 0, 0, 0, 0]]",쇠고기육개장,"[6.0, 6.0, 8.0, [1, 0, 0, 0, 0]]",감자양파찌개,"[14.04, 1.86, 2.04, [1, 0, 0, 0, 0]]",29.0,32.0,9.0
2021-01-29,우유),"[4.6, 4.0, 3.0, [1, 0, 0, 0, 0]]",,"[0, 0, 0, [0, 0, 0, 0, 1]]",감귤,"[9.34, 0.22, 0.57, [1, 0, 0, 0, 0]]",8.0,20.0,1.0
2021-01-30,북어채국,"[3.28, 4.9, 12.81, [1, 0, 0, 0, 0]]",생선묵국,"[0, 0, 0, [0, 0, 0, 0, 1]]",호박된장찌개,"[16.77, 5.6, 15.01, [1, 0, 0, 0, 0]]",5.0,11.0,48.0
2021-01-31,조갯살미역국,"[0, 0, 0, [0, 0, 0, 0, 1]]",배추된장국,"[8.64, 2.01, 3.8, [1, 0, 0, 0, 0]]",김치찌개,"[6.38, 8.09, 8.17, [1, 0, 0, 0, 0]]",53.0,36.0,87.0
2021-02-01,오징어국,"[12.11, 3.33, 35.99, [1, 0, 0, 0, 0]]",명태무찌개,"[0, 0, 0, [0, 0, 0, 0, 1]]",순두부찌개,"[5.62, 17.99, 18.25, [1, 0, 0, 0, 0]]",4.0,2.0,73.0
2021-02-02,쇠고기육개장,"[6.0, 6.0, 8.0, [1, 0, 0, 0, 0]]",햄치즈버거,"[42.0, 17.0, 18.0, [1, 0, 0, 0, 0]]",버섯된장찌개,"[16.77, 5.6, 15.01, [1, 0, 0, 0, 0]]",12.0,2.0,7.0
2021-02-03,생선묵볶음,"[0, 0, 0, [0, 0, 0, 0, 1]]",쇠고기파프리카볶음,"[0, 0, 0, [0, 0, 0, 0, 1]]",닭고기튀김양념,"[0, 0, 0, [0, 0, 0, 0, 1]]",2.0,2.0,1.0
2021-02-04,오징어젓무침,"[34.0, 1.7, 9.0, [1, 0, 0, 0, 0]]",북어채국,"[3.28, 4.9, 12.81, [1, 0, 0, 0, 0]]",버섯쇠고기찌개,"[0, 0, 0, [0, 0, 0, 0, 1]]",1.0,11.0,4.0
2021-02-05,시금치된장국,"[17.48, 2.8, 7.91, [1, 0, 0, 0, 0]]",광어매운탕,"[0, 0, 0, [0, 0, 0, 0, 1]]",순두부찌개,"[5.62, 17.99, 18.25, [1, 0, 0, 0, 0]]",17.0,15.0,73.0
2021-02-06,불고기버거,"[50.0, 22.0, 20.0, [1, 0, 0, 0, 0]]",생선묵국,"[0, 0, 0, [0, 0, 0, 0, 1]]",햄소시지찌개,"[0, 0, 0, [0, 0, 0, 0, 1]]",27.0,11.0,58.0
2021-02-07,북어채국,"[3.28, 4.9, 12.81, [1, 0, 0, 0, 0]]",두부고추장찌개,"[13.53, 2.9, 6.9, [1, 0, 0, 0, 0]]",감자양파찌개,"[14.04, 1.86, 2.04, [1, 0, 0, 0, 0]]",5.0,2.0,9.0
2021-02-08,꼬리곰탕,"[7.0, 13.0, 32.0, [1, 0, 0, 0, 0]]",쇠고기미역국,"[16.08, 6.78, 15.06, [1, 0, 0, 0, 0]]",김치찌개,"[6.38, 8.09, 8.17, [1, 0, 0, 0, 0]]",21.0,33.0,87.0
2021-02-09,콩나물국,"[5.87, 1.54, 2.17, [1, 0, 0, 0, 0]]",청국장,"[11.05, 4.19, 10.03, [1, 0, 0, 0, 0]]",새우버거,"[46.0, 26.0, 15.0, [1, 0, 0, 0, 0]]",21.0,15.0,17.0
2021-02-10,쇠고기감자국,"[7.0, 2.4, 13.0, [1, 0, 0, 0, 0]]",대구매운탕,"[0, 0, 0, [0, 0, 0, 0, 1]]",생선묵국,"[0, 0, 0, [0, 0, 0, 0, 1]]",27.0,4.0,9.0
