날짜,breakfast,breakfast_embedding,lunch,lunch_embedding,dinner,dinner_embedding,breakfast_count,lunch_count,dinner_count,breakfast_cuisine,lunch_cuisine,dinner_cuisine,breakfast_kobert,lunch_kobert,dinner_kobert
2022-06-01,쇠고기미역국,"16.08, 6.78, 15.06",김치찌개,"6.38, 8.09, 8.17",호박된장찌개,"16.77, 5.6, 15.01",21,3,1,"[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]",[-4.62741593  0.0328805   0.09617637],[-4.76946470e+00  8.57109371e-04  2.25929705e-02],[-3.91011759  0.04894274  0.09252749]
2022-06-02,남도떡갈비,"9.0, 26.0, 12.0",야채고로케,"9.0, 11.0, 5.0",쌈무,"0.6, 0.04, 0.16",1,1,1,"[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]",[-4.62741593  0.0328805   0.09617637],[-4.76946470e+00  8.57109371e-04  2.25929705e-02],[ 5.902702   -0.21608864  0.07552505]
2022-06-03,쇠고기감자국,"7.0, 2.4, 13.0",냉김치말이국수,"76.7, 7.01, 17.37",닭볶음탕,"9.4, 9.5, 25.72",16,1,7,"[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]",[-4.62741593  0.0328805   0.09617637],[ 7.7947749  -0.68293746  0.95539997],[-3.91011759  0.04894274  0.09252749]
2022-06-04,오징어무국,"3.8, 0.96, 10.35",호박된장찌개,"16.77, 5.6, 15.01",새우순두부계란탕,"19.172017857142862, 7.075374999999995, 11.985875000000004",2,3,3,"[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]",[8.01181198 0.96980666 0.98778069],[-4.76946470e+00  8.57109371e-04  2.25929705e-02],[-3.91011759  0.04894274  0.09252749]
2022-06-05,왕만두국,"29.95, 21.79, 24.12",사골곰탕,"0.0, 2.4, 3.0",감자짜글이,"32.0, 1.8, 5.0",8,1,7,"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]",[ 7.36243946  2.46154488 -0.13985599],[ 7.18134952 -0.20752621 -1.89813624],[-3.91011759  0.04894274  0.09252749]
2022-06-06,콩나물김치국,"1.79, 1.82, 1.92",김치찌개,"6.38, 8.09, 8.17",유부미소장국,"4.2, 1.1, 3.2",4,3,1,"[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]",[ 7.86645324 -0.48461475  0.45288814],[-4.76946470e+00  8.57109371e-04  2.25929705e-02],[8.79082251 0.81101035 0.02805826]
2022-06-07,쇠고기무국,"12.07, 8.62, 16.43",도토리묵냉국,"34.0, 0.5, 1.0",햄소시지찌개,"19.172017857142862, 7.075374999999995, 11.985875000000004",40,1,3,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]",[-4.62741593  0.0328805   0.09617637],[7.97540577 0.53550627 0.77480264],[-3.91011759  0.04894274  0.09252749]
2022-06-08,조갯살미역국,"19.016542810985488, 8.021147011308546, 12.768707592891765",감자탕,"10.01, 5.58, 14.74",순두부찌개,"5.62, 17.99, 18.25",4,3,12,"[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]",[-4.62741593  0.0328805   0.09617637],[ 6.65983464  0.46242563 -2.70885036],[-3.91011759  0.04894274  0.09252749]
2022-06-09,배추된장국,"8.64, 2.01, 3.8",쇠고기감자국,"7.0, 2.4, 13.0",콩나물국,"5.87, 1.54, 2.17",5,4,11,"[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]",[-4.62741593  0.0328805   0.09617637],[-4.76946470e+00  8.57109371e-04  2.25929705e-02],[ 8.32021356  1.33856581 -0.71685306]
2022-06-10,쇠고기당면국,"7.0, 2.4, 13.0",우동국물,"12.38, 2.74, 1.62",김치찌개,"6.38, 8.09, 8.17",3,1,1,"[0, 0, 0, 0, 1]","[0, 0, 0, 1, 0]","[1, 0, 0, 0, 0]",[-4.62741593  0.0328805   0.09617637],[7.31389524 1.8639217  1.14363024],[-3.91011759  0.04894274  0.09252749]
