날짜,breakfast,breakfast_embedding,lunch,lunch_embedding,dinner,dinner_embedding,breakfast_count,lunch_count,dinner_count,breakfast_cuisine,lunch_cuisine,dinner_cuisine,breakfast_kobert
2022-06-01,쇠고기미역국,"16.08, 6.78, 15.06",김치찌개,"6.38, 8.09, 8.17",호박된장찌개,"16.77, 5.6, 15.01",21,3,1,"[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]",[-4.62741593  0.0328805   0.09617663]
2022-06-02,남도떡갈비,"9.0, 26.0, 12.0",야채고로케,"9.0, 11.0, 5.0",쌈무,"0.6, 0.04, 0.16",1,1,1,"[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]",[-4.62741593  0.0328805   0.09617663]
2022-06-03,쇠고기감자국,"7.0, 2.4, 13.0",냉김치말이국수,"76.7, 7.01, 17.37",닭볶음탕,"9.4, 9.5, 25.72",16,1,7,"[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]",[-4.62741593  0.0328805   0.09617663]
2022-06-04,오징어무국,"3.8, 0.96, 10.35",호박된장찌개,"16.77, 5.6, 15.01",새우순두부계란탕,"19.172017857142862, 7.075374999999995, 11.985875000000004",2,3,3,"[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]",[8.01181198 0.96980667 0.9877867 ]
2022-06-05,왕만두국,"29.95, 21.79, 24.12",사골곰탕,"0.0, 2.4, 3.0",감자짜글이,"32.0, 1.8, 5.0",8,1,7,"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]",[ 7.36243946  2.46154488 -0.13985035]
2022-06-06,콩나물김치국,"1.79, 1.82, 1.92",김치찌개,"6.38, 8.09, 8.17",유부미소장국,"4.2, 1.1, 3.2",4,3,1,"[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]",[ 7.86645324 -0.48461474  0.45289151]
2022-06-07,쇠고기무국,"12.07, 8.62, 16.43",도토리묵냉국,"34.0, 0.5, 1.0",햄소시지찌개,"19.172017857142862, 7.075374999999995, 11.985875000000004",40,1,3,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]",[-4.62741593  0.0328805   0.09617663]
2022-06-08,조갯살미역국,"19.016542810985488, 8.021147011308546, 12.768707592891765",감자탕,"10.01, 5.58, 14.74",순두부찌개,"5.62, 17.99, 18.25",4,3,12,"[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]",[-4.62741593  0.0328805   0.09617663]
2022-06-09,배추된장국,"8.64, 2.01, 3.8",쇠고기감자국,"7.0, 2.4, 13.0",콩나물국,"5.87, 1.54, 2.17",5,4,11,"[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]",[-4.62741593  0.0328805   0.09617663]
2022-06-10,쇠고기당면국,"7.0, 2.4, 13.0",우동국물,"12.38, 2.74, 1.62",김치찌개,"6.38, 8.09, 8.17",3,1,1,"[0, 0, 0, 0, 1]","[0, 0, 0, 1, 0]","[1, 0, 0, 0, 0]",[-4.62741593  0.0328805   0.09617663]
2022-06-11,양념감자튀김,"1.0, 4.3, 5.0",시금치된장국,"17.48, 2.8, 7.91",북어들깨미역국,"11.76, 5.28, 2.78",1,2,4,"[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]",[-4.62741593  0.0328805   0.09617663]
2022-06-12,사골우거지국,"6.0, 7.0, 14.0",쇠고기감자국,"7.0, 2.4, 13.0",닭고기육개장,"6.0, 6.0, 8.0",11,4,14,"[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]",[ 8.02304692 -0.28977704  0.62643137]
2022-06-13,쇠고기미역국,"16.08, 6.78, 15.06",크림스파게티,"30.25, 12.87, 9.4",콩나물김치국,"1.79, 1.82, 1.92",21,1,4,"[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]",[-4.62741593  0.0328805   0.09617663]
2022-06-14,감자달걀국,"19.016542810985488, 8.021147011308546, 12.768707592891765",닭볶음탕,"9.4, 9.5, 25.72",배추된장국,"8.64, 2.01, 3.8",2,8,10,"[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]",[-4.62741593  0.0328805   0.09617663]
2022-06-15,메추리알장조림,"2.63, 7.73, 16.25",궁중닭찜,"20.828397887323945, 6.627411971830987, 11.344295774647893",새우튀김,"1.14, 0.31, 2.0",1,1,1,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]",[ 8.33313778 -1.62565809  0.5881147 ]
