날짜,breakfast,breakfast_embedding,lunch,lunch_embedding,dinner,dinner_embedding,breakfast_count,lunch_count,dinner_count,breakfast_kobert,lunch_kobert,dinner_kobert,breakfast_cuisine,lunch_cuisine,dinner_cuisine
2022-11-01,감자짜글이,"32.0, 1.8, 5.0",콩나물국,"5.87, 1.54, 2.17",김치찌개,"6.38, 8.09, 8.17",3,15,23,[-5.30956256e+00 -1.06510018e-02  4.97679282e-03],[ 7.01287602  1.56728427 -0.98004681],[-3.60520926  0.10272904  0.15261576],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2022-11-02,조랭이떡미역국,"25.0, 1.0, 3.0",배추두부국,"24.270969696969743, 6.209979797979794, 10.550363636363643",중화식계란탕,"16.47807302231237, 6.357180527383361, 11.16549695740368",21,5,15,[-5.30956256e+00 -1.06510018e-02  4.97679282e-03],[ 6.47201134  1.26779995 -1.926651  ],[-3.60520926  0.10272904  0.15261576],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2022-11-03,닭죽,"5.52, 12.18, 27.21",호박고추장찌개,"13.53, 2.9, 6.9",쇠고기육개장,"6.0, 6.0, 8.0",16,10,14,[-5.30956256e+00 -1.06510018e-02  4.97679282e-03],[-5.20028517  0.03524423  0.06381859],[-3.60520926  0.10272904  0.15261576],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2022-11-04,비엔나야채떡조림,"23.235326732673283, 7.601227722772283, 11.194811881188128",,"24.270969696969743, 6.209979797979794, 10.550363636363643",배,"15.46, 0.12, 0.38",1,7,1,[-5.30956256e+00 -1.06510018e-02  4.97679282e-03],[-4.21655502 -1.6630369  -3.52974838],[ 1.97498531 -2.3827494  -1.44872791],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2022-11-06,달걀국,"1.1, 3.83, 7.52",쇠고기무국,"12.07, 8.62, 16.43",김치찌개,"6.38, 8.09, 8.17",9,7,23,[-5.30956256e+00 -1.06510018e-02  4.97679282e-03],[-5.20028517  0.03524423  0.06381859],[-3.60520926  0.10272904  0.15261576],"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]"
2022-11-07,황태채콩나물국,"5.0, 1.5, 8.0",들깨미역국,"11.76, 5.28, 2.78",쇠고기장터국,"7.0, 3.7, 9.0",4,7,1,[ 7.7053453   1.04562089 -0.45327533],[-5.20028517  0.03524423  0.06381859],[-3.60520926  0.10272904  0.15261576],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2022-11-08,꼬리곰탕,"7.0, 13.0, 32.0",팽이미소된장국,"7.78, 3.36, 6.02",생선묵국,"16.47807302231237, 6.357180527383361, 11.16549695740368",28,15,14,[-5.30956256e+00 -1.06510018e-02  4.97679282e-03],[-5.20028517  0.03524423  0.06381859],[ 8.51646879  2.73870402 -0.25582939],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2022-11-09,감자수제비국,"66.44, 6.59, 15.81",쇠고기미역국,"16.08, 6.78, 15.06",굴해물짬뽕,"69.0, 8.0, 18.0",8,9,2,[ 6.99467985  0.4862395  -0.79480497],[-5.20028517  0.03524423  0.06381859],[-3.60520926  0.10272904  0.15261576],"[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2022-11-10,햄치즈버거,"42.0, 17.0, 18.0",호박된장찌개,"16.77, 5.6, 15.01",떡만둣국,"68.42, 11.05, 15.0",13,7,1,[ 6.66178754 -2.67672222 -1.16984858],[-5.20028517  0.03524423  0.06381859],[-3.60520926  0.10272904  0.15261576],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2022-11-11,쇠고기감자국,"7.0, 2.4, 13.0",미소된장국,"7.78, 3.36, 6.02",닭볶음탕,"9.4, 9.5, 25.72",16,8,11,[-5.30956256e+00 -1.06510018e-02  4.97679282e-03],[-5.20028517  0.03524423  0.06381859],[-3.60520926  0.10272904  0.15261576],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]"
2022-11-12,생우동,"67.0, 3.1, 9.0",생선묵김치찌개,"24.270969696969743, 6.209979797979794, 10.550363636363643",순두부국,"3.61, 2.62, 4.01",1,7,16,[6.07529347 1.6907591  1.68077663],[-5.20028517  0.03524423  0.06381859],[ 7.93222185  1.49780212 -1.04306133],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2022-11-13,핫도그빵,"24.74, 2.16, 4.75",닭고기육개장,"6.0, 6.0, 8.0",감자양파찌개,"14.04, 1.86, 2.04",2,7,14,[-5.30956256e+00 -1.06510018e-02  4.97679282e-03],[-5.20028517  0.03524423  0.06381859],[-3.60520926  0.10272904  0.15261576],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2022-11-14,쇠고기미역국,"16.08, 6.78, 15.06",순두부찌개,"5.62, 17.99, 18.25",근대된장국,"5.82, 1.36, 3.47",19,11,4,[-5.30956256e+00 -1.06510018e-02  4.97679282e-03],[-5.20028517  0.03524423  0.06381859],[-3.60520926  0.10272904  0.15261576],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2022-11-15,미소된장국,"7.78, 3.36, 6.02",마라탕,"16.1, 8.99, 10.08",시금치된장국,"17.48, 2.8, 7.91",12,3,2,[-5.30956256e+00 -1.06510018e-02  4.97679282e-03],[ 6.13668686 -0.27249378  1.0655267 ],[-3.60520926  0.10272904  0.15261576],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2022-11-16,쇠고기야채죽,"30.0, 4.7, 6.0",닭갈비,"14.39, 8.99, 13.4",쫄면,"43.29, 1.54, 4.55",11,1,1,[-5.30956256e+00 -1.06510018e-02  4.97679282e-03],[-5.20028517  0.03524423  0.06381859],[-3.60520926  0.10272904  0.15261576],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2022-11-17,"해태에이치티비,복숭아봉봉,340ml","42.0, 0.0, 1.0",떠먹는 토핑형 발효유,"27.85, 0.04, 0.08",,"16.47807302231237, 6.357180527383361, 11.16549695740368",1,1,12,[ 7.92813253 -0.57556849  1.22614856],[ 7.22936047 -0.54797997  0.04785212],[-2.69787671 -3.26804422 -5.58254592],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2022-11-19,햄치즈버거,"42.0, 17.0, 18.0",우동장국,"18.0, 0.0, 6.0",맑은순두부찌개,"5.62, 17.99, 18.25",13,23,1,[ 6.66178754 -2.67672222 -1.16984858],[7.06039749 3.58710454 0.33526271],[-3.60520926  0.10272904  0.15261576],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2022-11-20,오므라이스,"46.8, 14.75, 14.77",짬뽕국,"22.49, 3.23, 8.76",쇠고기육개장,"6.0, 6.0, 8.0",3,19,14,[ 6.6684804  -2.88992112  1.43830155],[-5.20028517  0.03524423  0.06381859],[-3.60520926  0.10272904  0.15261576],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2022-11-21,물만두국,"29.95, 21.79, 24.12",닭볶음탕,"9.4, 9.5, 25.72",맑은어묵탕,"16.47807302231237, 6.357180527383361, 11.16549695740368",18,7,1,[ 6.43493653  2.24656491 -0.22228045],[-5.20028517  0.03524423  0.06381859],[-3.60520926  0.10272904  0.15261576],"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]"
2022-11-22,우동장국,"18.0, 0.0, 6.0",달걀국,"1.1, 3.83, 7.52",호박고추장찌개,"13.53, 2.9, 6.9",6,13,18,[6.78777507 3.81319535 0.39068112],[-5.20028517  0.03524423  0.06381859],[-3.60520926  0.10272904  0.15261576],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
