날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
2022-05-05,"우유(백색우유(200ML,연간))(02)",122kcal,,,케이크,324kcal,,,3182.98kcal
2022-05-06,밥,363kcal,흑미밥,370.62kcal,쇠고기국밥(05)(06)(16),497.7kcal,,,3193.85kcal
2022-05-06,중화식계란탕(01)(05)(06),101.02kcal,콩나물국(05),23.95kcal,고등어카레튀김(06),351.8kcal,,,3193.85kcal
2022-05-06,쇠고기야채볶음(05)(06)(16),204.27kcal,돼지고기김치볶음(06)(10),374.85kcal,김치전(완)(05)(06),145.79kcal,,,3193.85kcal
2022-05-06,오이무침(05)(06),47.36kcal,야채춘권튀김(06)(12),265.04kcal,배추김치,10kcal,,,3193.85kcal
2022-05-06,배추김치,10kcal,조미김(8절형),5.25kcal,초콜릿(3사교),286kcal,,,3193.85kcal
2022-05-06,"우유(백색우유(200ML,연간))(02)",122kcal,깍두기,15.2kcal,,,,,3193.85kcal
2022-05-06,"생수(500ML,후식)",0kcal,,,,,,,3193.85kcal
2022-05-07,밥,363kcal,햄치즈버거(01)(02)(06)(10)(12),683.86kcal,밥,363kcal,,,3165.29kcal
2022-05-07,두부된장국(05)(06),72.08kcal,스크램블에그(01),168.15kcal,사골우거지국(완)(16),480kcal,,,3165.29kcal
2022-05-07,소시지야채볶음(05)(06)(10)(12)(13),161.98kcal,쇠고기수프,0.35kcal,닭감자찜(05)(06)(15),359.35kcal,,,3165.29kcal
2022-05-07,맛살오이겨자냉채(17),65.99kcal,씨리얼,151.2kcal,도토리묵무침,31.63kcal,,,3165.29kcal
2022-05-07,배추김치,10kcal,"우유(백색우유(200ML,연간))(02)",122kcal,깍두기,15.2kcal,,,3165.29kcal
2022-05-07,,,탄산음료,117.5kcal,,,,,3165.29kcal
2022-05-08,밥,363kcal,소불고기덮밥(완)(05)(06)(16),970.12kcal,밥,363kcal,,,3824.55kcal
2022-05-08,사골곰탕(01)(05)(06)(10),346.54kcal,떡볶이(05)(06),323.79kcal,돼지국밥(완)(05)(06)(09)(10),503.55kcal,,,3824.55kcal
2022-05-08,오징어브로콜리숙회(06)(17),111.23kcal,조미김(8절형),5.25kcal,부추겉절이(05)(06),25.09kcal,,,3824.55kcal
2022-05-08,깍두기,15.2kcal,단무지,5.4kcal,오이양파장아찌(05)(06),25.18kcal,,,3824.55kcal
2022-05-08,"남양유업,과수원오렌지,190ml",,배추김치,10kcal,깍두기,15.2kcal,,,3824.55kcal
2022-05-08,,,스트링치즈,742kcal,,,,,3824.55kcal
2022-05-09,밥,363kcal,잡곡밥,388.57kcal,밥,363kcal,,,3300.42kcal
2022-05-09,호박된장국(05)(06),47.64kcal,순두부해물찌개(05)(08)(09)(17)(18),94.38kcal,돈육김치찌개(05)(10),117.65kcal,,,3300.42kcal
2022-05-09,건새우마늘쫑볶음(05)(06)(09),98.95kcal,함박스테이크*소스(06)(10)(16),357.27kcal,고구마고로케(01)(02)(06)(12),327.29kcal,,,3300.42kcal
2022-05-09,쇠고기메추리알조림(05)(06),30.59kcal,꽃맛살샐러드(01)(05)(06),130.61kcal,닭봉달콤간장조림(17),639.07kcal,,,3300.42kcal
2022-05-09,깍두기,15.2kcal,배추김치,10kcal,깍두기,15.2kcal,,,3300.42kcal
2022-05-09,"우유(백색우유(200ML,연간))(02)",122kcal,,,"아이스크림, 떠먹는형",180kcal,,,3300.42kcal
2022-05-10,밥,363kcal,잡곡밥,388.57kcal,새우버거(01)(06)(09)(12),729.99kcal,,,3487.63kcal
2022-05-10,콩나물국(05),23.95kcal,유부어묵국(17)(05)(06),30.76kcal,케이준감자튀김(05)(12),480.52kcal,,,3487.63kcal
2022-05-10,오징어채볶음(01)(05)(06)(17),139.91kcal,제육볶음(05)(06)(10),487.5kcal,"우유(백색우유(200ML,연간))(02)",122kcal,,,3487.63kcal
2022-05-10,두부김치(05)(06)(10),229.66kcal,야채튀김(06)(12),289.12kcal,탄산음료,117.5kcal,,,3487.63kcal
