날짜,조식,중식,석식,breakfast_embedding,lunch_embedding,dinner_embedding
2024-10-16(수),,동아오츠카포카리스웨트340ml 캔,,"[0, 0, 0, [0, 0, 0, 0, 1]]","[28.97, 0.27, 0.15, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-17(목),밥,흑미밥,밥,,,
2024-10-17(목),부추달걀국,돈등뼈감자탕,해물순두부찌개,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[13.31, 16.19, 25.76, [1, 0, 0, 0, 0]]"
2024-10-17(목),소시지채소볶음,삼치구이&깐풍소스,궁중소고기떡볶음,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0.21, 11.01, 18.64, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-17(목),배추김치볶음,시금치무침,베이컨감자채볶음,"[4.7, 2.46, 4.98, [1, 0, 0, 0, 0]]","[8.39, 3.14, 3.78, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-17(목),연두부양념장,오복채무침,배추김치,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]",
2024-10-17(목),가공우유,석박지,,"[0, 0, 0, [0, 0, 0, 0, 1]]","[3.93, 0.14, 0.81, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-17(목),생수,,,"[29.0, 2.2, 6.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-18(금),밥,밥,후리카케밥,,,
2024-10-18(금),닭가슴살떡국,대구지리탕,종합어묵국,"[0.0, 1.23, 22.98, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[26.0, 0.0, 12.0, [1, 0, 0, 0, 0]]"
2024-10-18(금),오징어볶음,햄김치볶음,떡볶이,"[8.66, 4.59, 12.41, [1, 0, 0, 0, 0]]","[34.0, 7.0, 5.0, [1, 0, 0, 0, 0]]","[60.42, 2.91, 6.97, [1, 0, 0, 0, 0]]"
2024-10-18(금),스크램블에그,계란말이,모듬튀김,"[1.96, 15.21, 13.01, [1, 0, 0, 0, 0]]","[2.61, 8.96, 10.18, [1, 0, 0, 0, 0]]","[7.32, 2.88, 1.84, [1, 0, 0, 0, 0]]"
2024-10-18(금),배추김치,김가루,순대찜,,"[0.0, 0.5, 0.0, [1, 0, 0, 0, 0]]","[3.0, 3.2, 3.0, [1, 0, 0, 0, 0]]"
