날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계,breakfast_embedding,lunch_embedding,dinner_embedding
2021-07-29,돼지고기부추볶음,298.84kcal,닭튀김&청양마요소스,717.52kcal,비엔나데리야끼소스볶음,303.45kcal,,,3244.30kcal,"[2.86, 9.51, 8.69, [1, 0, 0, 0, 0]]","[7.49, 12.58, 16.03, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-07-29,토마토스크램블에그,129.56kcal,삼색초나물,36.12kcal,콩나물게맛살냉채,63.29kcal,,,3244.30kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[49.0, 15.0, 16.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-07-29,배추김치,11.25kcal,오이소박이,20.35kcal,배추김치,11.25kcal,,,3244.30kcal,,"[5.39, 0.38, 1.41, [1, 0, 0, 0, 0]]",
2021-07-29,우유(백색우유(200ML,122kcal,자두,33.8kcal,과일푸딩,126kcal,,,3244.30kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[5.97, 0.15, 0.37, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-07-30,밥,363kcal,밥,363kcal,밀쌀밥,363.83kcal,,,3342.61kcal,,,
2021-07-30,꼬리곰탕,551.75kcal,어묵김칫국,52.83kcal,감자튀김,345.91kcal,,,3342.61kcal,"[7.0, 13.0, 32.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[20.33, 8.01, 1.98, [1, 0, 0, 0, 0]]"
2021-07-30,골뱅이오징어채볶음,135.97kcal,달콤돼지고기볶음,306kcal,맛김,0kcal,,,3342.61kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[41.0, 3.3, 8.0, [1, 0, 0, 0, 0]]","[1.3, 1.5, 1.2, [1, 0, 0, 0, 0]]"
2021-07-30,오이부추무침,22.39kcal,모듬쌈,57.06kcal,갈비폭찹,429.62kcal,,,3342.61kcal,"[7.72, 1.55, 1.58, [1, 0, 0, 0, 0]]","[2.32, 0.11, 0.55, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-07-30,배추김치,11.25kcal,총각김치,16.4kcal,깻잎양념무침,46.87kcal,,,3342.61kcal,,,"[9.48, 1.52, 3.37, [1, 0, 0, 0, 0]]"
2021-07-30,우유(백색우유(200ML,122kcal,신선형),105.08kcal,배추김치,11.25kcal,,,3342.61kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[54.73, 2.3, 11.31, [1, 0, 0, 0, 0]]",
2021-07-30,,,,,짜먹는요구르트,38.4kcal,,,3342.61kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[12.0, 5.0, 6.0, [1, 0, 0, 0, 0]]"
2021-07-31,,,라면,365kcal,,,,,3342.61kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[55.68, 14.54, 7.9, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-08-01,쇠고기야채덮밥,720.15kcal,밥,363kcal,밥,363kcal,,,2708.60kcal,,,
2021-08-01,생선묵찌개,88.37kcal,버섯매운탕,61.43kcal,닭곰탕,147.8kcal,,,2708.60kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[78.0, 8.0, 38.0, [1, 0, 0, 0, 0]]","[1.87, 4.75, 18.72, [1, 0, 0, 0, 0]]"
2021-08-01,부추겉절이,29.49kcal,돈육야채볶음,296.97kcal,마파두부,219.14kcal,,,2708.60kcal,"[5.46, 1.66, 3.02, [1, 0, 0, 0, 0]]","[9.73, 4.05, 1.72, [1, 0, 0, 0, 0]]","[2.39, 7.87, 8.47, [1, 0, 0, 0, 0]]"
