날짜,breakfast,breakfast_embedding,lunch,lunch_embedding,dinner,dinner_embedding,breakfast_count,lunch_count,dinner_count
2022-04-01,감자양파국,"[24.0, 1.3, 4.0, [1, 0, 0, 0, 0]]",짬뽕찌개,"[0, 0, 0, [0, 0, 0, 0, 1]]",달걀국,"[1.1, 3.83, 7.52, [1, 0, 0, 0, 0]]",12,6,1
2022-04-02,쇠고기무국,"[12.07, 8.62, 16.43, [1, 0, 0, 0, 0]]",불고기버거,"[50.0, 22.0, 20.0, [1, 0, 0, 0, 0]]",닭고기육개장,"[6.0, 6.0, 8.0, [1, 0, 0, 0, 0]]",57,3,2
2022-04-03,배추된장국,"[8.64, 2.01, 3.8, [1, 0, 0, 0, 0]]",호박고추장찌개,"[13.53, 2.9, 6.9, [1, 0, 0, 0, 0]]",뚝배기불고기,"[9.74, 13.22, 36.47, [1, 0, 0, 0, 0]]",13,1,1
2022-04-04,사골떡왕만둣국,"[9.0, 4.0, 2.0, [1, 0, 0, 0, 0]]",순두부해물찌개,"[5.62, 17.99, 18.25, [1, 0, 0, 0, 0]]",미소된장국,"[7.78, 3.36, 6.02, [1, 0, 0, 0, 0]]",1,5,1
2022-04-05,두부된장국,"[15.81, 4.71, 11.2, [1, 0, 0, 0, 0]]",콩나물국,"[5.87, 1.54, 2.17, [1, 0, 0, 0, 0]]",차돌박이된장찌개,"[27.0, 28.0, 27.0, [1, 0, 0, 0, 0]]",13,10,3
2022-04-06,중화식계란탕,"[0, 0, 0, [0, 0, 0, 0, 1]]",순두부해물찌개,"[5.62, 17.99, 18.25, [1, 0, 0, 0, 0]]",고구마고로케,"[10.0, 4.6, 8.0, [1, 0, 0, 0, 0]]",14,5,1
2022-04-07,스크램블에그,"[1.96, 15.21, 13.01, [1, 0, 0, 0, 0]]",감자수제비국,"[66.44, 6.59, 15.81, [1, 0, 0, 0, 0]]",쇠고기육개장,"[6.0, 6.0, 8.0, [1, 0, 0, 0, 0]]",1,12,23
2022-04-08,배추두부국,"[0, 0, 0, [0, 0, 0, 0, 1]]",생선묵국,"[0, 0, 0, [0, 0, 0, 0, 1]]",김치짜글이찌개,"[89.0, 5.0, 14.0, [1, 0, 0, 0, 0]]",2,2,2
2022-04-09,유부어묵국,"[69.0, 9.0, 17.0, [1, 0, 0, 0, 0]]",핫도그빵,"[24.74, 2.16, 4.75, [1, 0, 0, 0, 0]]",시금치된장국,"[17.48, 2.8, 7.91, [1, 0, 0, 0, 0]]",1,3,4
2022-04-10,호박된장찌개,"[16.77, 5.6, 15.01, [1, 0, 0, 0, 0]]",제육볶음,"[10.37, 11.03, 13.21, [1, 0, 0, 0, 0]]",콩나물국,"[5.87, 1.54, 2.17, [1, 0, 0, 0, 0]]",2,1,5
2022-04-11,건새우아욱국,"[0, 0, 0, [0, 0, 0, 0, 1]]",등뼈감자탕,"[0, 0, 0, [0, 0, 0, 0, 1]]",햄소시지찌개,"[0, 0, 0, [0, 0, 0, 0, 1]]",1,2,2
2022-04-12,순두부국,"[3.61, 2.62, 4.01, [1, 0, 0, 0, 0]]",쇠고기미역국,"[16.08, 6.78, 15.06, [1, 0, 0, 0, 0]]",오징어무국,"[3.8, 0.96, 10.35, [1, 0, 0, 0, 0]]",5,14,7
