Meal,n_days,R2 Score,MAE
breakfast,2,0.17318944546843987,3.400580846501061
lunch,2,0.4829737788998818,7.851062940655211
dinner,2,0.6983829125982884,4.942524074321949
breakfast,3,0.5182161476358159,3.5315716709951577
lunch,3,0.2464513549437263,8.087767764617288
dinner,3,0.6557865587779846,5.406440397298333
breakfast,7,0.3933623143518479,3.792471786749234
lunch,7,0.36044128183305607,7.59532789515751
dinner,7,0.5987359222924631,5.4238040015130515
breakfast,14,0.09728204644568302,4.432784855884951
lunch,14,0.41647070337513076,8.00236915928032
dinner,14,0.6809598773432767,5.304634717086228
