날짜,식사시간,메뉴,칼로리
2023-09-01,아침,회덮밥,621
2023-09-01,점심,치즈돈까스,538
2023-09-01,저녁,부대찌개,679
2023-09-02,아침,짜장면,661
2023-09-02,점심,계란말이,734
2023-09-02,저녁,차슈덮밥,589
2023-09-03,아침,유부초밥,871
2023-09-03,점심,양장피,826
2023-09-03,저녁,비빔냉면,413
2023-09-04,아침,전복죽,711
2023-09-04,점심,굴국밥,338
2023-09-04,저녁,콩나물국밥,432
2023-09-05,아침,오징어볶음,810
2023-09-05,점심,양장피,535
2023-09-05,저녁,깐풍기,524
2023-09-06,아침,전복죽,325
2023-09-06,점심,갈비탕,336
2023-09-06,저녁,해물탕,370
2023-09-07,아침,새우볶음밥,435
2023-09-07,점심,갈비찜,709
2023-09-07,저녁,잔치국수,759
2023-09-08,아침,곱창전골,639
2023-09-08,점심,돼지갈비,509
2023-09-08,저녁,스테이크,433
2023-09-09,아침,북엇국,413
2023-09-09,점심,파전,313
2023-09-09,저녁,비빔밥,506
2023-09-10,아침,참치김밥,705
2023-09-10,점심,보쌈,831
2023-09-10,저녁,해물탕,671
2023-09-11,아침,훈제연어샐러드,329
2023-09-11,점심,잡채,436
2023-09-11,저녁,마파두부,841
2023-09-12,아침,고추장불고기,411
2023-09-12,점심,김밥,828
2023-09-12,저녁,갈비찜,857
2023-09-13,아침,함박스테이크,814
2023-09-13,점심,보쌈,634
2023-09-13,저녁,초밥,561
2023-09-14,아침,고추장불고기,304
2023-09-14,점심,갈비찜,376
2023-09-14,저녁,낙지볶음,447
2023-09-15,아침,김치전,758
2023-09-15,점심,동태찌개,582
2023-09-15,저녁,바지락칼국수,587
2023-09-16,아침,김치볶음밥,777
2023-09-16,점심,돈까스,873
2023-09-16,저녁,샐러드파스타,749
2023-09-17,아침,고추장불고기,300
2023-09-17,점심,순두부찌개,634
2023-09-17,저녁,샐러드파스타,300
2023-09-18,아침,짬뽕,826
2023-09-18,점심,순대볶음,867
2023-09-18,저녁,회덮밥,433
2023-09-19,아침,닭가슴살샐러드,674
2023-09-19,점심,물냉면,393
2023-09-19,저녁,스테이크,494
2023-09-20,아침,돼지국밥,742
2023-09-20,점심,고추장불고기,507
2023-09-20,저녁,돈까스덮밥,451
2023-09-21,아침,오리구이,636
2023-09-21,점심,닭한마리,797
2023-09-21,저녁,짜장면,398
2023-09-22,아침,고등어구이,418
2023-09-22,점심,크림파스타,407
2023-09-22,저녁,치즈돈까스,674
2023-09-23,아침,육회,559
2023-09-23,점심,김밥,412
2023-09-23,저녁,떡국,315
2023-09-24,아침,매운치킨,600
2023-09-24,점심,함박스테이크,464
2023-09-24,저녁,삼계탕,704
2023-09-25,아침,오리구이,552
2023-09-25,점심,설렁탕,450
2023-09-25,저녁,고추장불고기,871
2023-09-26,아침,비빔밥,763
2023-09-26,점심,잔치국수,483
2023-09-26,저녁,떡볶이,603
2023-09-27,아침,해물파전,498
2023-09-27,점심,차돌박이,313
2023-09-27,저녁,감자탕,506
2023-09-28,아침,김치전,567
2023-09-28,점심,훈제오리샐러드,893
2023-09-28,저녁,우동,347
